"","TCGA_AC_A2FM_01","TCGA_AC_A2FF_01","TCGA_AC_A2FB_01","TCGA_GI_A2C9_01","TCGA_BH_A1FE_01","TCGA_BH_A18V_01","TCGA_E2_A15K_01","TCGA_BH_A0B3_01","TCGA_BH_A0AZ_01","TCGA_BH_A0BJ_01","TCGA_BH_A0BS_01","TCGA_BH_A0BW_01","TCGA_BH_A0B7_01","TCGA_BH_A0H7_01","TCGA_A7_A13E_01","TCGA_A7_A13F_01","TCGA_E2_A15K.1_01","TCGA_BH_A18V.1_01","TCGA_BH_A18P_01","TCGA_BH_A18L_01","TCGA_BH_A1FR_01","TCGA_BH_A1EN_01","TCGA_BH_A1F8_01","TCGA_BH_A1FG_01","TCGA_BH_A1FH_01","TCGA_BH_A1FJ_01","TCGA_BH_A1EV_01","TCGA_E9_A1N4_01","TCGA_BH_A209_01","TCGA_BH_A203_01","TCGA_BH_A208_01","TCGA_BH_A204_01","TCGA_E2_A153_01","TCGA_A7_A0CE_01","TCGA_A7_A0CH_01","TCGA_BH_A0BV_01","TCGA_BH_A0BM_01","TCGA_BH_A0BC_01","TCGA_BH_A0E0_01","TCGA_BH_A0E1_01","TCGA_BH_A0DV_01","TCGA_BH_A0DT_01","TCGA_BH_A18N_01","TCGA_BH_A0DP_01","TCGA_BH_A0DK_01","TCGA_BH_A0DL_01","TCGA_BH_A0DG_01","TCGA_BH_A0DH_01","TCGA_BH_A0DD_01","TCGA_BH_A0C0_01","TCGA_BH_A0BZ_01","TCGA_BH_A0AY_01","TCGA_BH_A0BQ_01","TCGA_BH_A0AU_01","TCGA_BH_A0C3_01","TCGA_BH_A0BT_01","TCGA_BH_A0BA_01","TCGA_E2_A158_01","TCGA_BH_A0HA_01","TCGA_BH_A0H5_01","TCGA_BH_A0HK_01","TCGA_BH_A0H9_01","TCGA_BH_A0B5_01","TCGA_A7_A0DB_01","TCGA_A7_A0D9_01","TCGA_BH_A18U_01","TCGA_BH_A18S_01","TCGA_BH_A18Q_01","TCGA_BH_A18R_01","TCGA_BH_A18M_01","TCGA_BH_A18J_01","TCGA_E2_A1BC_01","TCGA_E2_A15M_01","TCGA_BH_A1EO_01","TCGA_BH_A1EU_01","TCGA_BH_A1ET_01","TCGA_BH_A1F0_01","TCGA_BH_A1F2_01","TCGA_BH_A1EW_01","TCGA_BH_A1FE.1_01","TCGA_BH_A1FD_01","TCGA_BH_A1FC_01","TCGA_BH_A1FB_01","TCGA_BH_A1FM_01","TCGA_BH_A1FN_01","TCGA_BH_A1F6_01","TCGA_E2_A15I_01","TCGA_E2_A1L7_01","TCGA_E2_A1LS_01","TCGA_E9_A1R7_01","TCGA_E9_A1RB_01","TCGA_E9_A1RC_01","TCGA_E9_A1RD_01","TCGA_E9_A1RF_01","TCGA_E9_A1RH_01","TCGA_E9_A1RI_01","TCGA_E2_A1IG_01","TCGA_E2_A1LB_01","TCGA_E9_A1ND_01","TCGA_E9_A1N5_01","TCGA_E9_A1N6_01","TCGA_E9_A1N9_01","TCGA_E9_A1NA_01","TCGA_E9_A1NF_01","TCGA_E9_A1NG_01","TCGA_GI_A2C8_01"
"YWHAE",0.089599,0.10613,0.30803,0.19347,0.0018226,0.10736,0.13803,-0.029081,0.35911,0.2051,0.12633,-0.053108,0.073201,0.46922,-0.13256,0.0065351,-0.062485,0.026616,-0.071207,0.016827,0.060546,0.08196,-0.095374,-0.037828,0.25073,-0.098785,-0.16866,-0.0048666,-0.093775,-0.0037281,-0.089562,0.12292,-0.22057,0.010961,0.0010325,0.1008,0.17347,0.21055,0.11647,0.32519,0.31676,0.011876,0.018128,0.38251,0.15562,0.12148,0.33318,0.23865,-0.040232,0.050411,0.11584,0.41089,0.22235,0.16245,0.070828,0.33274,0.38012,-0.10937,0.086668,0.026707,-0.0059109,0.036129,0.2637,0.038865,0.31188,0.042005,-0.13003,-0.076144,-0.086017,0.14147,0.016371,0.11023,0.085561,0.2223,0.040827,-0.0030203,-0.30499,-0.11147,0.042717,0.03214,-0.18052,-0.083638,0.04048,-0.1524,-0.25822,-0.067357,0.20474,-0.0024507,0.049217,-0.086306,-0.1796,0.032053,0.011603,-0.017964,-0.012958,-0.052659,-0.052533,0.18961,-0.10351,-0.24535,0.10075,-0.018303,-0.099528,-0.012872,0.099185,0.15749
"EIF4EBP1",0.013462,-0.47997,-0.96245,0.27109,-0.59869,0.01799,-0.28973,-0.28403,-0.25509,0.14763,0.20333,-0.3517,-0.49047,-0.6118,0.69571,0.53977,-0.39744,0.4179,-0.38751,-0.45405,0.29923,1.7396,0.52099,1.1259,-0.06384,0.16789,0.16772,0.26166,1.0772,1.6815,0.22531,1.9434,-0.51574,-0.22165,-0.26849,-0.28978,-0.16507,-0.025055,-0.21589,-0.32706,-0.39694,-0.36851,-0.63494,-0.41488,-0.11488,-0.24566,-0.37796,0.13908,0.044648,-0.34031,-0.077728,1.0653,-0.4616,-0.012935,-0.3593,-0.18359,0.018107,0.6547,-0.021627,-0.50613,-0.13789,0.14764,-0.086892,-0.53976,0.97702,0.38642,0.58978,0.096794,0.066593,-0.33741,-0.48554,-0.33529,-0.12536,0.78086,0.15147,-0.0055218,0.30258,-0.24443,1.2458,0.21748,1.0131,0.83342,-0.53589,0.02901,-0.14271,-0.34576,-0.18996,0.085316,0.10511,-0.42285,1.4619,0.28883,-0.098944,-0.47296,-0.37782,0.096031,-0.53733,0.42837,-0.33767,-0.17285,0.34859,-0.37144,-0.082809,-0.46958,-0.079236,-0.32173
"TP53BP1",-0.20413,-0.40649,-1.0447,-0.82114,-0.2129,0.11047,0.46487,-0.72963,-0.52391,0.58538,0.20481,-0.51025,0.18934,-1.1814,0.033255,0.22476,0.19025,0.37017,0.79955,-0.70678,0.6105,-0.84475,-0.43622,-0.82001,-0.71789,0.80116,0.0035638,0.17831,0.16364,-0.36756,-0.61413,0.1369,0.10252,0.26934,0.31727,0.74925,-0.075251,-0.084972,-0.3474,-0.4292,-0.55441,0.20838,-0.02407,-0.80374,0.11982,-0.28582,-0.89023,0.011785,0.24383,-0.89403,-0.54443,-0.48938,-0.62109,-0.20244,-0.53391,-0.60506,-0.61672,-0.39038,0.24481,0.060219,0.17282,0.3475,-0.7408,0.15108,-0.75581,-0.52403,0.21301,-0.84964,-0.031457,-0.28159,-0.80003,-0.2883,0.31301,-0.90458,0.15046,0.071431,-0.48683,-0.5927,-0.63423,-0.12312,0.16691,-0.23608,-0.60585,-0.55185,-0.24248,-0.87309,-0.25544,-0.18321,0.65016,0.26768,0.25345,-0.92078,0.43907,-0.24602,-1.2843,0.241,0.34116,-0.96398,0.24972,0.1739,-0.40912,-0.064592,-0.27669,-0.1417,-0.12433,-0.57375
"ACACA ACACB",1.209,-0.25755,-0.78527,-0.026602,0.35911,-0.77505,0.30832,-0.12976,-0.86203,0.058751,0.04931,0.91022,0.28377,-0.35012,-0.11288,0.35466,-0.13419,0.020699,0.15538,1.1032,0.76393,1.1187,1.2223,0.8497,-0.47813,1.0367,0.048622,0.59925,-0.17172,0.9772,-0.16653,-0.64118,0.4028,0.43946,0.32627,-0.49606,0.95706,-0.79801,0.75475,-0.43982,-0.57664,-0.38755,-0.094672,0.81973,-0.50391,-0.30284,0.26053,0.3517,1.8943,1.5527,0.17033,-1.4516,1.5594,1.2399,1.6335,-0.76921,0.66888,0.25454,0.63712,0.25818,0.88704,1.1567,0.039212,0.18227,-0.28963,0.42906,0.83157,-0.28926,0.7398,0.51408,-0.8242,1.3677,-0.26693,-0.97208,-0.22954,0.65626,0.34027,0.77807,0.9208,-0.21169,0.30657,1.0794,-0.41581,1.043,0.083419,-0.16805,0.6895,-0.76404,0.081062,0.26177,1.2311,-0.36886,1.3467,0.39635,1.7757,1.6707,0.97914,1.6574,0.52724,0.46603,0.54981,1.6143,-0.12728,1.7767,-0.21201,-0.4131
"ACACA",1.4541,-0.45275,-1.4109,-0.050567,-0.058453,-1.1837,0.17,-0.084518,0.2322,0.45428,1.017,0.84621,1.4618,-0.91348,-0.41671,1.154,-0.57089,-0.24254,-0.33214,1.0097,0.5099,0.99547,1.1883,1.0379,-0.88798,0.96451,-0.38324,0.90754,0.59846,0.50512,-0.42098,0.49662,0.76496,0.41837,0.21964,0.90886,0.79702,-0.9494,0.58688,-0.18354,-0.20453,-0.17834,-0.37697,0.40431,0.52776,-0.22076,0.34285,0.031829,2.0471,1.6026,0.097875,0.2678,2.3452,1.5989,1.733,-0.27395,0.42926,-0.023245,1.1562,-0.0032669,0.66984,0.96002,-0.48904,0.088552,-0.43949,0.80918,0.48934,-0.54838,0.4314,0.69723,-1.2359,0.83983,-0.14822,-1.0993,-0.10612,0.44688,0.17865,1.1815,0.68195,0.62867,0.36855,0.86599,-0.65679,1.017,0.11772,-0.4179,0.33407,-0.62161,-0.43155,0.10983,0.87686,-0.84687,0.90556,0.17169,1.5449,1.2617,0.9461,1.2708,0.15671,0.50418,1.0896,1.5563,-0.29631,1.2698,-0.42834,-0.61708
"AKT1 AKT2 AKT3",0.67869,-0.066244,-0.66492,0.39365,0.055186,-0.18461,0.31675,-0.1887,0.24829,0.24893,0.5556,1.1594,0.33165,-0.78542,-0.51953,-0.031287,0.46116,-0.026857,0.41926,-0.073446,0.57585,0.55242,0.013652,-0.091305,0.17702,0.44582,0.47495,0.21987,0.21736,0.22632,1.7078,-0.11157,0.3834,-0.083919,0.6601,0.79951,0.3403,0.45036,0.39036,-0.097476,0.097554,0.13058,-0.61063,0.34378,0.6743,0.21118,-0.010085,0.054264,0.14681,-0.014704,0.046432,-0.44971,-0.165,-0.27086,-0.15248,0.38422,-0.19334,0.35152,0.38041,0.039207,0.15441,0.70685,-0.17855,0.40413,-0.094103,-0.085968,0.27337,-0.084923,0.66937,-0.041263,0.21475,0.33173,-0.29186,-0.22884,0.28285,0.64565,0.0689,0.18482,-0.56807,-0.329,0.033536,0.24433,-0.32992,0.34137,0.44346,-0.30607,0.017166,0.68971,0.226,0.70995,-0.094797,0.10808,0.59374,0.76363,-0.1177,0.49576,0.38434,0.43763,0.42621,0.48253,0.1797,0.51203,0.28423,0.68093,0.51171,-0.20887
"PRKAA1",-0.06286,-0.10458,-0.53425,-0.21811,0.027937,-0.23346,0.13893,-0.26315,-0.10707,0.30266,-0.22088,-0.29955,0.11874,-0.81706,-0.5935,-0.92432,0.055721,-0.21194,0.85433,-0.66219,0.012278,0.35051,-0.51841,-0.3481,-0.26672,0.65006,0.18394,0.56377,-1.1608,-0.093208,-0.15086,-0.6743,-0.12434,-0.3599,0.31541,-0.36516,0.097795,-0.10265,-0.38364,-0.20263,0.040133,-0.72753,-0.24175,-0.139,0.11514,-0.50777,0.11595,0.53024,0.081387,-0.017466,-0.044662,-0.50465,0.12301,-0.0016845,-0.20674,-0.14934,0.16706,-0.39684,-0.087157,-0.36416,0.61616,-0.13255,-0.17983,0.13101,-0.2708,-0.023248,0.30519,-0.4477,-0.54489,-0.2214,0.14385,0.14628,0.40307,-0.54015,-0.04908,-0.56259,-0.37494,-0.054565,-0.73825,-0.50959,-0.46242,-0.53245,-0.35336,0.11622,-0.43302,-0.64803,-0.19214,-0.22379,0.36687,-0.30526,-0.17221,-0.34235,-0.49495,0.15739,-0.59675,0.5786,0.21775,0.2528,0.15764,0.098465,-0.30128,-0.16312,0.34214,-0.11061,0.060971,-0.27949
"AR",2.0842,1.3745,0.74599,-0.21623,0.49996,0.10797,2.583,-0.29327,0.63627,1.6561,1.533,-0.50712,0.99802,0.71928,-0.94561,1.4721,1.2962,-0.87593,1.0004,0.62797,1.6998,0.82028,1.6079,1.6929,0.444,2.1883,0.12914,1.1776,0.95882,1.976,0.52501,0.7578,1.6765,-0.76548,2.4842,1.6496,2.0843,1.589,-0.10088,0.44466,1.1697,1.4759,2.1063,-0.19326,1.2277,-0.4437,1.1528,0.64677,1.9438,0.90871,-0.011069,1.3739,1.7553,1.5863,1.8527,1.737,1.1441,-0.78398,1.9352,1.47,2.2993,0.77563,0.31308,1.6444,0.051038,-0.0058493,1.9074,-0.31516,1.1987,0.706,0.72062,1.975,1.6636,0.23297,2.0689,2.2609,-1.0019,1.5375,1.0081,1.6243,1.5414,-0.35305,0.82337,1.2158,1.4261,-0.6159,1.6004,1.8322,0.75116,0.41796,2.3691,1.2563,2.2482,0.78202,0.10138,2.332,-0.4048,1.9188,-0.7716,1.6701,2.047,2.5931,1.3828,2.0895,0.90993,0.53913
"ASNS",0.41665,-0.24251,-0.25281,1.0881,0.020348,1.1371,-1.2504,0.86782,-0.69608,-0.057143,-0.56652,0.52102,-0.58533,-0.67505,0.74728,0.14017,-0.85712,1.2981,0.13484,-0.27937,-0.13778,-0.40484,0.38033,-0.8002,-0.25069,0.3886,-0.37067,-0.57438,0.27341,-0.012663,-0.84577,0.43929,-0.1756,0.86306,-0.51312,-0.17863,-0.66826,0.1655,4.3e-05,-0.57648,-0.9638,-0.71212,-0.38072,-1.0589,-0.049558,0.010681,-0.35975,-0.54662,0.16465,0.54892,-0.27988,-0.61532,-0.63244,-0.014477,0.01085,-0.64059,-0.30632,0.54736,-0.39316,-0.25972,-0.65255,-0.4647,-0.30902,-0.35285,-0.53631,0.23309,-0.56589,0.023077,0.14609,-0.69591,-0.43965,-0.94535,-0.44782,-0.36392,-0.73388,-1.1528,0.29774,-0.070252,-1.1299,-0.23655,0.61526,1.1309,-0.76076,-0.09024,0.15824,0.40052,-0.93694,-0.4735,-0.21263,-0.17333,0.16126,-0.57886,-0.90311,-0.1615,-0.689,-0.55627,-0.49694,0.3753,1.4724,-0.7353,0.9177,-0.23855,0.22796,0.11953,-0.71279,-0.6344
"ATM",-0.80731,0.18909,-0.20788,0.15434,0.28684,-0.39309,0.15483,-0.24193,-0.15711,0.92518,0.47157,0.78051,0.48711,-0.83434,-0.67601,0.63736,-0.2373,-0.68646,-0.61788,-0.47574,1.0312,-0.65332,0.12182,0.79497,-0.37401,0.94901,0.13191,0.36653,0.24373,0.55154,-0.70598,0.20125,0.46483,0.2402,0.66654,0.65776,0.2514,0.22394,0.02464,0.066653,-0.01142,0.51411,-0.36294,0.22262,-0.20167,0.4385,-0.39978,0.4209,-0.58089,0.85417,0.02462,-1.4747,-0.27804,-0.37464,-0.090042,-0.13775,-0.45687,-0.13656,0.14717,1.1491,-0.59258,0.41145,0.31982,0.18907,-0.36572,0.18289,0.24284,0.73477,-0.38164,-0.57412,-1.6121,-0.20109,-0.15266,-0.89446,-0.28608,-0.24913,-0.055987,-0.69803,-0.9123,-0.20152,-0.20577,0.47054,0.21023,-0.10556,0.40007,-0.40033,-0.066831,0.26306,-0.09296,0.13059,1.0654,-0.36753,0.57401,-0.048857,-0.55237,0.80048,-0.055788,0.19215,0.64905,0.039742,-0.42472,0.22916,-0.35408,0.012713,-0.25817,0.070349
